trial,testing,parameters,initial_deadline,final_deadline,net_reward,actions,success
82,False,"{'a': 0.2, 'e': 0.19789869908361465}",20,0,-47.09540520980674,"{0: 15, 1: 3, 2: 1, 3: 0, 4: 1}",0
83,False,"{'a': 0.2, 'e': 0.19398004229089189}",25,0,-27.135307060294213,"{0: 22, 1: 0, 2: 2, 3: 0, 4: 1}",0
84,False,"{'a': 0.2, 'e': 0.1901389801015205}",20,3,-6.056093663495098,"{0: 15, 1: 0, 2: 1, 3: 1, 4: 0}",1
85,False,"{'a': 0.2, 'e': 0.18637397603940997}",20,14,10.805106387790774,"{0: 6, 1: 0, 2: 0, 3: 0, 4: 0}",1
86,False,"{'a': 0.2, 'e': 0.18268352405273466}",30,14,10.986173876207921,"{0: 14, 1: 1, 2: 1, 3: 0, 4: 0}",1
87,False,"{'a': 0.2, 'e': 0.17906614791149322}",25,7,23.93312114985243,"{0: 17, 1: 1, 2: 0, 3: 0, 4: 0}",1
88,False,"{'a': 0.2, 'e': 0.17552040061699686}",20,0,-53.384526691979154,"{0: 15, 1: 2, 2: 1, 3: 1, 4: 1}",0
89,False,"{'a': 0.2, 'e': 0.17204486382305054}",20,0,-5.238552073219889,"{0: 18, 1: 0, 2: 1, 3: 1, 4: 0}",0
90,False,"{'a': 0.2, 'e': 0.1686381472685955}",20,0,-60.41509487737751,"{0: 17, 1: 0, 2: 0, 3: 2, 4: 1}",0
91,False,"{'a': 0.2, 'e': 0.16529888822158653}",20,14,-0.2559562110319742,"{0: 5, 1: 0, 2: 1, 3: 0, 4: 0}",1
92,False,"{'a': 0.2, 'e': 0.16202575093388075}",25,13,-29.042805150339493,"{0: 9, 1: 1, 2: 0, 3: 2, 4: 0}",1
93,False,"{'a': 0.2, 'e': 0.15881742610692068}",25,15,15.733864538645518,"{0: 10, 1: 0, 2: 0, 3: 0, 4: 0}",1
94,False,"{'a': 0.2, 'e': 0.1556726303679973}",25,8,7.199187157154402,"{0: 16, 1: 0, 2: 0, 3: 1, 4: 0}",1
95,False,"{'a': 0.2, 'e': 0.15259010575688386}",20,10,17.69034751815405,"{0: 10, 1: 0, 2: 0, 3: 0, 4: 0}",1
96,False,"{'a': 0.2, 'e': 0.14956861922263504}",25,0,-32.72543613920328,"{0: 20, 1: 0, 2: 4, 3: 1, 4: 0}",0
97,False,"{'a': 0.2, 'e': 0.14660696213035015}",25,11,25.524260330768037,"{0: 14, 1: 0, 2: 0, 3: 0, 4: 0}",1
98,False,"{'a': 0.2, 'e': 0.14370394977770293}",25,13,7.40667249520982,"{0: 11, 1: 0, 2: 1, 3: 0, 4: 0}",1
99,False,"{'a': 0.2, 'e': 0.140858420921045}",25,0,-21.673570101026677,"{0: 23, 1: 1, 2: 0, 3: 0, 4: 1}",0
100,False,"{'a': 0.2, 'e': 0.13806923731089282}",25,10,20.194860631247575,"{0: 15, 1: 0, 2: 0, 3: 0, 4: 0}",1
101,False,"{'a': 0.2, 'e': 0.1353352832366127}",20,0,24.124817606282527,"{0: 19, 1: 1, 2: 0, 3: 0, 4: 0}",0
102,False,"{'a': 0.2, 'e': 0.13265546508012172}",20,0,-35.57313125843942,"{0: 17, 1: 1, 2: 1, 3: 0, 4: 1}",0
103,False,"{'a': 0.2, 'e': 0.1300287108784259}",20,15,10.536627400911945,"{0: 5, 1: 0, 2: 0, 3: 0, 4: 0}",1
104,False,"{'a': 0.2, 'e': 0.12745396989482075}",30,16,-16.75936481874384,"{0: 13, 1: 0, 2: 0, 3: 0, 4: 1}",1
105,False,"{'a': 0.2, 'e': 0.12493021219858241}",20,10,-21.633247796204877,"{0: 9, 1: 0, 2: 0, 3: 0, 4: 1}",1
106,False,"{'a': 0.2, 'e': 0.1224564282529819}",25,13,-18.14344807838117,"{0: 11, 1: 0, 2: 0, 3: 0, 4: 1}",1
107,False,"{'a': 0.2, 'e': 0.12003162851145673}",20,0,27.617362473102474,"{0: 20, 1: 0, 2: 0, 3: 0, 4: 0}",0
108,False,"{'a': 0.2, 'e': 0.11765484302177918}",20,14,11.229974054026536,"{0: 6, 1: 0, 2: 0, 3: 0, 4: 0}",1
109,False,"{'a': 0.2, 'e': 0.11532512103806251}",35,24,21.455625280073708,"{0: 11, 1: 0, 2: 0, 3: 0, 4: 0}",1
110,False,"{'a': 0.2, 'e': 0.11304153064044985}",20,3,29.28895400975428,"{0: 17, 1: 0, 2: 0, 3: 0, 4: 0}",1
111,False,"{'a': 0.2, 'e': 0.11080315836233387}",25,13,26.56800629097876,"{0: 12, 1: 0, 2: 0, 3: 0, 4: 0}",1
112,False,"{'a': 0.2, 'e': 0.10860910882495796}",20,0,-2.302792780876353,"{0: 17, 1: 2, 2: 1, 3: 0, 4: 0}",0
113,False,"{'a': 0.2, 'e': 0.1064585043792528}",20,0,20.284086885024216,"{0: 19, 1: 0, 2: 1, 3: 0, 4: 0}",1
114,False,"{'a': 0.2, 'e': 0.104350484754765}",30,11,31.47206233464687,"{0: 19, 1: 0, 2: 0, 3: 0, 4: 0}",1
115,False,"{'a': 0.2, 'e': 0.10228420671553744}",25,11,17.68295716771505,"{0: 13, 1: 1, 2: 0, 3: 0, 4: 0}",1
116,False,"{'a': 0.2, 'e': 0.1002588437228037}",30,12,-89.69561441707557,"{0: 15, 1: 0, 2: 0, 3: 0, 4: 3}",1
117,False,"{'a': 0.2, 'e': 0.09827358560436154}",25,11,21.300339972998646,"{0: 14, 1: 0, 2: 0, 3: 0, 4: 0}",1
118,False,"{'a': 0.2, 'e': 0.09632763823049303}",20,0,29.87658463622789,"{0: 20, 1: 0, 2: 0, 3: 0, 4: 0}",0
119,False,"{'a': 0.2, 'e': 0.09442022319630235}",30,12,18.81203100467506,"{0: 17, 1: 0, 2: 1, 3: 0, 4: 0}",1
120,False,"{'a': 0.2, 'e': 0.09255057751034329}",20,6,23.139786526474413,"{0: 14, 1: 0, 2: 0, 3: 0, 4: 0}",1
121,False,"{'a': 0.2, 'e': 0.09071795328941251}",20,0,-6.697146682113763,"{0: 18, 1: 0, 2: 1, 3: 1, 4: 0}",0
122,False,"{'a': 0.2, 'e': 0.08892161745938634}",20,9,18.949334222276452,"{0: 11, 1: 0, 2: 0, 3: 0, 4: 0}",1
123,False,"{'a': 0.2, 'e': 0.0871608514619813}",35,0,38.780328204787324,"{0: 33, 1: 2, 2: 0, 3: 0, 4: 0}",0
124,False,"{'a': 0.2, 'e': 0.08543495096732123}",30,23,15.783901400941016,"{0: 7, 1: 0, 2: 0, 3: 0, 4: 0}",1
125,False,"{'a': 0.2, 'e': 0.08374322559219596}",35,21,-15.081295073652504,"{0: 13, 1: 0, 2: 0, 3: 0, 4: 1}",1
126,False,"{'a': 0.2, 'e': 0.0820849986238988}",25,0,-2.8069033211301697,"{0: 24, 1: 0, 2: 0, 3: 0, 4: 1}",0
127,False,"{'a': 0.2, 'e': 0.08045960674953244}",25,0,7.910081919108624,"{0: 23, 1: 0, 2: 2, 3: 0, 4: 0}",0
128,False,"{'a': 0.2, 'e': 0.07886639979067495}",20,9,24.067631892850272,"{0: 11, 1: 0, 2: 0, 3: 0, 4: 0}",1
129,False,"{'a': 0.2, 'e': 0.07730474044329974}",30,13,32.57152979594548,"{0: 17, 1: 0, 2: 0, 3: 0, 4: 0}",1
130,False,"{'a': 0.2, 'e': 0.07577400402284548}",20,0,-5.950464159659809,"{0: 17, 1: 0, 2: 3, 3: 0, 4: 0}",0
131,False,"{'a': 0.2, 'e': 0.07427357821433388}",20,3,31.85860905192373,"{0: 17, 1: 0, 2: 0, 3: 0, 4: 0}",1
132,False,"{'a': 0.2, 'e': 0.07280286282743559}",30,1,8.352475428485349,"{0: 27, 1: 0, 2: 1, 3: 1, 4: 0}",1
133,False,"{'a': 0.2, 'e': 0.07136126955638605}",20,8,-22.86827535488943,"{0: 10, 1: 0, 2: 0, 3: 2, 4: 0}",1
134,False,"{'a': 0.2, 'e': 0.06994822174465536}",20,14,10.797233298501476,"{0: 6, 1: 0, 2: 0, 3: 0, 4: 0}",1
135,False,"{'a': 0.2, 'e': 0.06856315415427791}",20,15,-10.855889751233697,"{0: 4, 1: 0, 2: 0, 3: 1, 4: 0}",1
136,False,"{'a': 0.2, 'e': 0.06720551273974976}",20,2,23.754372887928,"{0: 18, 1: 0, 2: 0, 3: 0, 4: 0}",1
137,False,"{'a': 0.2, 'e': 0.06587475442640295}",20,0,25.67056886211913,"{0: 20, 1: 0, 2: 0, 3: 0, 4: 0}",0
138,False,"{'a': 0.2, 'e': 0.06457034689316847}",25,0,30.93746399198072,"{0: 24, 1: 0, 2: 1, 3: 0, 4: 0}",0
139,False,"{'a': 0.2, 'e': 0.0632917683596407}",20,15,10.547107137813217,"{0: 5, 1: 0, 2: 0, 3: 0, 4: 0}",1
140,False,"{'a': 0.2, 'e': 0.06203850737735829}",20,12,13.517907078410992,"{0: 8, 1: 0, 2: 0, 3: 0, 4: 0}",1
141,False,"{'a': 0.2, 'e': 0.06081006262521795}",25,8,-10.491528472210309,"{0: 15, 1: 0, 2: 1, 3: 1, 4: 0}",1
142,False,"{'a': 0.2, 'e': 0.05960594270893937}",25,0,15.460966740254928,"{0: 23, 1: 0, 2: 2, 3: 0, 4: 0}",0
143,False,"{'a': 0.2, 'e': 0.05842566596450083}",30,13,13.549568587323005,"{0: 15, 1: 2, 2: 0, 3: 0, 4: 0}",1
144,False,"{'a': 0.2, 'e': 0.05726876026546736}",25,0,25.762232186056753,"{0: 25, 1: 0, 2: 0, 3: 0, 4: 0}",0
145,False,"{'a': 0.2, 'e': 0.056134762834133725}",30,20,18.523068214362482,"{0: 10, 1: 0, 2: 0, 3: 0, 4: 0}",1
146,False,"{'a': 0.2, 'e': 0.05502322005640723}",20,0,26.327978218142242,"{0: 20, 1: 0, 2: 0, 3: 0, 4: 0}",0
147,False,"{'a': 0.2, 'e': 0.05393368730035602}",25,17,14.344175980931512,"{0: 8, 1: 0, 2: 0, 3: 0, 4: 0}",1
148,False,"{'a': 0.2, 'e': 0.05286572873835037}",25,3,41.609917604577014,"{0: 22, 1: 0, 2: 0, 3: 0, 4: 0}",1
149,False,"{'a': 0.2, 'e': 0.05181891717272583}",20,7,22.744454027518884,"{0: 13, 1: 0, 2: 0, 3: 0, 4: 0}",1
150,False,"{'a': 0.2, 'e': 0.0507928338648985}",20,12,16.281300261994055,"{0: 8, 1: 0, 2: 0, 3: 0, 4: 0}",1
151,False,"{'a': 0.2, 'e': 0.049787068367863944}",30,18,18.073371918940367,"{0: 12, 1: 0, 2: 0, 3: 0, 4: 0}",1
152,False,"{'a': 0.2, 'e': 0.04880121836201296}",20,6,25.734326607950074,"{0: 14, 1: 0, 2: 0, 3: 0, 4: 0}",1
153,False,"{'a': 0.2, 'e': 0.04783488949419837}",20,3,27.825079020700176,"{0: 17, 1: 0, 2: 0, 3: 0, 4: 0}",1
154,False,"{'a': 0.2, 'e': 0.046887695219988486}",20,0,20.136551874961015,"{0: 19, 1: 0, 2: 1, 3: 0, 4: 0}",0
155,False,"{'a': 0.2, 'e': 0.045959256649044204}",20,0,24.877187042311153,"{0: 20, 1: 0, 2: 0, 3: 0, 4: 0}",0
156,False,"{'a': 0.2, 'e': 0.0450492023935578}",25,14,19.546767928241753,"{0: 11, 1: 0, 2: 0, 3: 0, 4: 0}",1
157,False,"{'a': 0.2, 'e': 0.04415716841969286}",20,5,14.004786789340717,"{0: 14, 1: 0, 2: 1, 3: 0, 4: 0}",1
158,False,"{'a': 0.2, 'e': 0.043282797901965896}",20,5,22.226475553834295,"{0: 15, 1: 0, 2: 0, 3: 0, 4: 0}",1
159,False,"{'a': 0.2, 'e': 0.042425741080511385}",25,10,14.047082030241821,"{0: 14, 1: 0, 2: 1, 3: 0, 4: 0}",1
160,False,"{'a': 0.2, 'e': 0.04158565512117316}",30,0,22.045145122252748,"{0: 29, 1: 0, 2: 0, 3: 1, 4: 0}",0
161,False,"{'a': 0.2, 'e': 0.04076220397836621}",20,0,25.80352810278537,"{0: 20, 1: 0, 2: 0, 3: 0, 4: 0}",0
162,False,"{'a': 0.2, 'e': 0.039955058260653896}",25,13,17.008881580932027,"{0: 12, 1: 0, 2: 0, 3: 0, 4: 0}",1
163,False,"{'a': 0.2, 'e': 0.039163895098987066}",30,7,30.978039216542932,"{0: 23, 1: 0, 2: 0, 3: 0, 4: 0}",1
